Row.names,Gene.stable.ID,Crab.eating.macaque.gene.stable.ID,Mouse.gene.stable.ID,Rat.gene.stable.ID,Dog.gene.stable.ID,Skin,Heart,Brain,Muscle,Spleen,Adipose,Thyroid,Colon,Lung,Liver,Pituitary,Adrenal,Human expression breadth,Chicken expression breadth,Brain expression constraint percentile,Heart expression constraint percentile,Liver expression constraint percentile,Lung expression constraint percentile,Muscle expression constraint percentile,Mean mammalian phyloP score
DCAF6,ENSG00000143164,ENSMFAG00000043317,ENSMUSG00000026571,ENSRNOG00000003078,ENSCAFG00000015343,8,0,0,11,0,0,9,0,6,9,0,9,0.232525711,0.45119507,0.85233624,0.675564569,0.645584347,0.895920067,0.95982748,4.08032
DCAF7,ENSG00000136485,ENSMFAG00000041397,ENSMUSG00000049354,ENSRNOG00000042245,ENSCAFG00000012961,0,0,0,0,0,-6,0,0,0,0,0,0,0.606533104,0.441844822,NA,0.944200833,0.83648863,0.986201975,0.793838571,NA
DCAKD,ENSG00000172992,ENSMFAG00000002600,ENSMUSG00000020935,ENSRNOG00000021682,ENSCAFG00000032388,6,0,-6,0,0,-9,6,0,0,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA
DCBLD1,ENSG00000164465,ENSMFAG00000033065,ENSMUSG00000019891,ENSRNOG00000000407,ENSCAFG00000000925,0,0,0,0,0,0,0,10,0,0,0,0,0.449122253,0.233377164,NA,NA,NA,0.997145236,0.933456562,2.38978
DCBLD2,ENSG00000057019,ENSMFAG00000045647,ENSMUSG00000035107,ENSRNOG00000055281,ENSCAFG00000009214,0,-6,0,0,0,0,0,0,0,0,0,0,0.570611581,0.48666189,0.416834339,0.4667836,0.339714437,0.747353396,NA,3.24471
DCC,ENSG00000187323,ENSMFAG00000033415,ENSMUSG00000060534,ENSRNOG00000033099,ENSCAFG00000000157,0,0,-2,0,0,0,0,0,0,0,11,0,0.208527693,NA,0.575788062,0.48015786,0.203278689,0.065540621,0.523967961,4.18141
DCDC2,ENSG00000146038,ENSMFAG00000001295,ENSMUSG00000035910,ENSRNOG00000017511,ENSCAFG00000010260,0,0,0,0,0,0,0,0,0,0,0,0,0.195655909,NA,NA,NA,NA,NA,NA,2.48182
DCDC2B,ENSG00000222046,ENSMFAG00000045797,ENSMUSG00000078552,ENSRNOG00000048876,ENSCAFG00000023234,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.75918
DCHS1,ENSG00000166341,ENSMFAG00000043464,ENSMUSG00000036862,ENSRNOG00000031643,ENSCAFG00000006532,-1,0,0,0,1,11,-11,0,11,-11,11,-11,0.307916695,0.362021559,0.846300022,0.767923701,0.773876256,NA,0.745409735,3.08917
DCK,ENSG00000156136,ENSMFAG00000000944,ENSMUSG00000029366,ENSRNOG00000003296,ENSCAFG00000002931,0,0,0,0,0,-6,0,10,-13,0,0,-11,0.372447629,0.306207257,NA,NA,NA,0.589627691,0.394454713,4.2583
DCLK1,ENSG00000133083,ENSMFAG00000030114,ENSMUSG00000027797,ENSRNOG00000032922,ENSCAFG00000006231,-6,-6,6,0,-13,9,0,-10,0,0,-11,-9,0.190163482,NA,0.490274983,0.478184609,0.278794289,0.268347805,0.56943931,5.05625
DCLK2,ENSG00000170390,ENSMFAG00000001654,ENSMUSG00000028078,ENSRNOG00000016550,ENSCAFG00000007870,0,1,-6,0,1,1,0,11,0,0,-2,9,0.211879319,NA,0.780236977,0.631440474,0.320994183,NA,0.361182994,4.23706
DCLK3,ENSG00000163673,ENSMFAG00000043493,ENSMUSG00000032500,ENSRNOG00000033026,ENSCAFG00000032761,0,0,0,0,0,0,0,0,0,0,8,0,0.208125065,NA,0.339034205,0.119052839,0.026599683,0.085761865,NA,2.12565
DCLRE1A,ENSG00000198924,ENSMFAG00000040983,ENSMUSG00000025077,ENSRNOG00000026204,ENSCAFG00000011186,0,-9,-9,0,0,-13,0,-6,-6,-6,-11,0,0.630336606,0.45217493,0.929465683,0.448805087,0.767741935,0.527536577,0.895995071,NA
DCLRE1B,ENSG00000118655,ENSMFAG00000042532,ENSMUSG00000027845,ENSRNOG00000019367,ENSCAFG00000009277,0,-11,0,-6,0,-9,0,0,0,0,0,1,0.497316714,0.315717357,NA,0.538039904,0.458699101,0.573450696,0.776833025,NA
DCLRE1C,ENSG00000152457,ENSMFAG00000000598,ENSMUSG00000026648,ENSRNOG00000015980,ENSCAFG00000004692,0,0,-6,0,0,0,-1,10,0,-9,0,0,0.537463515,0.308970232,0.433489828,0.635825477,0.700052882,0.630427025,0.945779421,3.46335
DCN,ENSG00000011465,ENSMFAG00000037651,ENSMUSG00000019929,ENSRNOG00000004554,ENSCAFG00000006142,-11,0,9,-11,0,6,9,-10,1,-8,1,13,0.294684649,0.3007515,0.758215962,0.830409998,0.41047065,0.312834543,0.654713494,4.00931
DCP1A,ENSG00000272886,ENSMFAG00000040374,ENSMUSG00000021962,ENSRNOG00000016015,ENSCAFG00000008637,0,0,0,0,0,0,0,0,0,0,-11,0,0.721953896,NA,NA,NA,0.877313591,NA,NA,NA
DCP1B,ENSG00000151065,ENSMFAG00000028687,ENSMUSG00000041477,ENSRNOG00000007340,ENSCAFG00000015993,0,0,0,0,0,0,0,-10,0,0,0,1,0.468740619,NA,0.703554661,0.238544179,0.639450026,0.760080885,0.641651263,2.36051
DCPS,ENSG00000110063,ENSMFAG00000018709,ENSMUSG00000032040,ENSRNOG00000009993,ENSCAFG00000010421,-8,0,7,0,0,-11,-9,-10,-10,0,0,0,0.181333167,NA,NA,NA,NA,NA,NA,3.02497
DCTD,ENSG00000129187,ENSMFAG00000034653,ENSMUSG00000031562,ENSRNOG00000013215,ENSCAFG00000031175,0,0,0,6,0,-11,6,-10,0,6,0,0,0.496456909,0.224119129,NA,NA,NA,0.186035447,NA,4.44914
DCTN1,ENSG00000204843,ENSMFAG00000037251,ENSMUSG00000031865,ENSRNOG00000010048,ENSCAFG00000008608,-8,0,13,0,1,-11,0,-10,0,0,11,11,0.362384079,NA,0.954393025,0.740955931,0.930301428,0.734982752,0.382316697,4.39422
DCTN2,ENSG00000175203,ENSMFAG00000001581,ENSMUSG00000025410,ENSRNOG00000025481,ENSCAFG00000000233,0,0,0,0,0,0,0,0,0,0,0,0,0.765654202,NA,NA,NA,NA,NA,NA,3.90074
DCTN3,ENSG00000137100,ENSMFAG00000003182,ENSMUSG00000028447,ENSRNOG00000014208,ENSCAFG00000001937,0,0,0,0,0,8,0,0,0,0,0,0,0.574498043,0.592224743,0.826738207,0.870203903,0.93368588,0.628642798,0.787553913,NA
DCTN4,ENSG00000132912,ENSMFAG00000037111,ENSMUSG00000024603,ENSRNOG00000019298,ENSCAFG00000018072,8,0,0,0,0,11,9,0,0,0,-1,-8,0.662726409,0.494212698,NA,NA,NA,NA,NA,5.20938
DCTN5,ENSG00000166847,ENSMFAG00000045332,ENSMUSG00000030868,ENSRNOG00000018048,ENSCAFG00000017666,-11,-1,0,-13,0,-13,-11,10,-13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DCTN6,ENSG00000104671,ENSMFAG00000041261,ENSMUSG00000031516,ENSRNOG00000013254,ENSCAFG00000006518,0,0,0,0,0,0,0,0,0,0,0,0,0.701670463,0.342242568,NA,NA,NA,NA,NA,4.10205
DCUN1D3,ENSG00000188215,ENSMFAG00000037012,ENSMUSG00000048787,ENSRNOG00000014037,ENSCAFG00000017880,-6,0,0,-6,0,9,-11,0,0,0,0,-8,0.331857233,0.292901913,0.940084954,0.98706424,0.840190375,0.400261687,0.75896488,4.84093
DCUN1D4,ENSG00000109184,ENSMFAG00000003049,ENSMUSG00000051674,ENSRNOG00000002152,ENSCAFG00000001999,0,0,0,0,0,0,0,0,0,0,0,-8,0.557379962,0.278429404,0.564050973,0.681100636,0.669804336,0.800999167,0.987184227,5.24215
DCUN1D5,ENSG00000137692,ENSMFAG00000033871,ENSMUSG00000032002,ENSRNOG00000008390,ENSCAFG00000015037,0,0,0,0,0,-6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.99951
DCX,ENSG00000077279,ENSMFAG00000003173,ENSMUSG00000031285,ENSRNOG00000047712,ENSCAFG00000018179,0,0,0,0,0,0,0,0,0,0,0,0,0.122852914,0.233909623,0.453722334,0.174852006,0.033315706,0.21267991,0.202957486,NA
DCXR,ENSG00000169738,ENSMFAG00000030901,ENSMUSG00000039450,ENSRNOG00000050315,ENSCAFG00000005927,-1,-9,0,0,6,-13,0,0,0,0,10,-8,0.142619119,0.291483051,NA,NA,NA,NA,NA,2.74385
DDA1,ENSG00000130311,ENSMFAG00000039324,ENSMUSG00000074247,ENSRNOG00000039417,ENSCAFG00000031251,0,0,0,0,0,-6,0,0,0,0,0,0,0.478700919,NA,NA,NA,NA,NA,NA,5.24663
DDAH1,ENSG00000153904,ENSMFAG00000037521,ENSMUSG00000028194,ENSRNOG00000014613,ENSCAFG00000029993,8,-2,0,10,0,0,1,0,0,0,0,-11,0.31017231,0.192317287,NA,0.377768033,0.408989952,0.235280124,0.267406038,4.61365
DDAH2,ENSG00000213722,ENSMFAG00000035624,ENSMUSG00000007039,ENSRNOG00000000842,ENSCAFG00000000617,-11,0,0,11,1,11,-11,11,0,11,1,1,0.460492795,NA,0.270623742,0.369984652,0.398942359,0.572142262,0.365742452,NA
DDB1,ENSG00000167986,ENSMFAG00000042035,ENSMUSG00000024740,ENSRNOG00000020715,ENSCAFG00000016264,0,0,0,0,0,0,0,0,0,0,0,0,0.359090634,NA,0.927788956,0.909668932,0.860814384,0.81182348,0.95021565,NA
DDB2,ENSG00000134574,ENSMFAG00000031723,ENSMUSG00000002109,ENSRNOG00000014071,ENSCAFG00000008852,0,0,0,0,0,6,-11,0,0,-11,10,1,0.385764096,0.325760259,NA,NA,NA,NA,NA,3.18693
DDC,ENSG00000132437,ENSMFAG00000025021,ENSMUSG00000020182,ENSRNOG00000004327,ENSCAFG00000003400,0,0,0,0,0,0,0,0,0,0,1,0,0.170014179,0.200574552,0.022132797,NA,0.909677419,0.10122517,0.00702403,3.65974
DDHD1,ENSG00000100523,ENSMFAG00000036353,ENSMUSG00000037697,ENSRNOG00000009481,ENSCAFG00000014871,0,0,0,0,0,0,0,0,0,-9,0,0,0.534853684,0.310546627,0.532304941,0.539793905,0.594500264,NA,0.993468885,3.69191
DDHD2,ENSG00000085788,ENSMFAG00000032613,ENSMUSG00000061313,ENSRNOG00000015501,ENSCAFG00000006099,0,0,0,0,0,0,0,-10,0,0,0,0,0.672284535,NA,NA,NA,NA,NA,NA,3.65137
DDIAS,ENSG00000165490,ENSMFAG00000030789,ENSMUSG00000030641,ENSRNOG00000022521,ENSCAFG00000004621,1,0,0,0,8,0,0,0,0,0,0,0,0.422704379,0.454596777,0.360384529,0.494737996,0.51454257,NA,0.307825015,2.06974
DDIT3,ENSG00000175197,ENSMFAG00000045278,ENSMUSG00000025408,ENSRNOG00000006789,ENSCAFG00000030112,0,0,0,-11,6,6,0,-10,0,0,0,-11,NA,NA,NA,NA,NA,NA,NA,2.27924
DDIT4,ENSG00000168209,ENSMFAG00000033307,ENSMUSG00000020108,ENSRNOG00000057078,ENSCAFG00000032469,0,0,0,-6,0,0,0,0,-10,0,-12,0,0.513365288,NA,0.553655265,0.439158079,0.282813326,0.367312953,0.279605669,3.10356
DDIT4L,ENSG00000145358,ENSMFAG00000046154,ENSMUSG00000046818,ENSRNOG00000010047,ENSCAFG00000010626,-11,0,-13,0,0,-11,0,0,0,0,-10,-11,NA,NA,NA,NA,NA,NA,NA,2.72981
DDN,ENSG00000181418,ENSMFAG00000025897,ENSMUSG00000059213,ENSRNOG00000059605,ENSCAFG00000008757,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.780374
DDO,ENSG00000203797,ENSMFAG00000002281,ENSMUSG00000063428,ENSRNOG00000000582,ENSCAFG00000003882,0,11,0,11,0,0,9,0,0,6,-8,0,NA,NA,NA,NA,NA,NA,NA,2.58998
DDOST,ENSG00000244038,ENSMFAG00000046185,ENSMUSG00000028757,ENSRNOG00000015079,ENSCAFG00000015041,0,0,0,0,0,0,1,0,0,0,0,0,0.550447539,0.551161712,0.833221552,0.930716948,0.826758329,0.773403116,0.920887246,4.63299
DDR1,ENSG00000204580,ENSMFAG00000033051,ENSMUSG00000003534,ENSRNOG00000057125,ENSCAFG00000000448,6,0,-9,0,-8,8,0,0,0,0,0,1,0.368849799,0.473218612,0.849429913,0.583205437,NA,0.850838587,0.967221195,3.38131
DDR2,ENSG00000162733,ENSMFAG00000036365,ENSMUSG00000026674,ENSRNOG00000002881,ENSCAFG00000013180,-6,0,0,6,-8,11,11,-10,6,0,6,13,0.194802743,NA,0.293650794,0.924687569,0.56964569,NA,0.870240296,4.55098
DDRGK1,ENSG00000198171,ENSMFAG00000037803,ENSMUSG00000068290,ENSRNOG00000021232,ENSCAFG00000006407,0,0,0,-6,0,0,0,0,0,0,0,0,0.553707455,0.374832592,0.657276995,0.785134839,0.649814913,0.797192816,0.74319162,2.62906
DDX1,ENSG00000079785,ENSMFAG00000033987,ENSMUSG00000037149,ENSRNOG00000006652,ENSCAFG00000003686,4,0,0,11,0,-11,11,-10,-11,8,-12,-11,0.712743411,0.477267468,0.746367091,0.718921289,0.846007403,0.677530629,0.937030191,5.1203
DDX10,ENSG00000178105,ENSMFAG00000045808,ENSMUSG00000053289,ENSRNOG00000012500,ENSCAFG00000014324,9,0,0,10,0,-9,9,8,0,0,-6,-8,NA,NA,NA,NA,NA,NA,NA,3.46473
DDX11,ENSG00000013573,ENSMFAG00000033398,ENSMUSG00000035842,ENSRNOG00000051528,ENSCAFG00000015707,0,0,0,0,0,11,-11,11,0,0,-10,9,0.479767197,0.41286046,NA,NA,NA,NA,NA,NA
DDX17,ENSG00000100201,ENSMFAG00000046051,ENSMUSG00000055065,ENSRNOG00000051170,ENSCAFG00000001395,0,0,0,0,0,0,0,0,0,0,-1,0,0.46513887,NA,0.987927565,0.985310239,0.95970386,NA,0.957116451,4.08744
DDX18,ENSG00000088205,ENSMFAG00000043075,ENSMUSG00000001674,ENSRNOG00000025430,ENSCAFG00000004950,8,0,0,0,0,-11,-11,0,0,-10,0,0,0.730118997,0.478331128,NA,NA,NA,NA,NA,3.99613
DDX19B,ENSG00000157349,ENSMFAG00000037902,ENSMUSG00000033658,ENSRNOG00000018033,ENSCAFG00000028505,0,0,0,0,0,-9,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.92724
DDX20,ENSG00000064703,ENSMFAG00000031755,ENSMUSG00000027905,ENSRNOG00000015274,ENSCAFG00000013674,0,0,0,0,0,-6,0,0,0,0,0,0,0.572594354,0.317883701,0.483791639,0.890155668,0.896562665,0.658736767,0.96327788,2.8975
DDX23,ENSG00000174243,ENSMFAG00000038666,ENSMUSG00000003360,ENSRNOG00000060154,ENSCAFG00000025422,0,0,0,0,0,0,0,0,0,0,0,0,0.536904964,NA,0.936172591,NA,0.999259651,0.927203521,0.900924214,5.01394
DDX24,ENSG00000089737,ENSMFAG00000033695,ENSMUSG00000041645,ENSRNOG00000009166,ENSCAFG00000017624,0,0,0,0,0,0,0,-10,0,0,0,0,0.522377152,0.487335495,NA,0.568954177,0.926176626,0.85452599,0.872704868,2.96677
DDX25,ENSG00000109832,ENSMFAG00000040048,ENSMUSG00000032101,ENSRNOG00000012260,ENSCAFG00000010519,0,0,0,0,0,0,0,0,0,0,0,0,0.18266141,NA,NA,0.119272089,NA,0.105626264,0.062600123,3.67515
DDX27,ENSG00000124228,ENSMFAG00000045749,ENSMUSG00000017999,ENSRNOG00000008081,ENSCAFG00000011384,0,0,0,-6,0,0,0,0,0,0,0,0,0.56841342,0.482325934,0.927565392,0.947270335,0.992808038,0.954085881,0.85323475,4.14787
DDX39A,ENSG00000123136,ENSMFAG00000044174,ENSMUSG00000005481,ENSRNOG00000004373,ENSCAFG00000016355,0,-6,0,-6,0,0,-6,0,0,0,11,0,0.340224391,NA,NA,0.6337426,0.459862507,0.467824432,0.404682686,4.72919
DDX39B,ENSG00000198563,ENSMFAG00000034233,ENSMUSG00000019432,ENSRNOG00000000841,ENSCAFG00000000509,0,0,0,0,0,0,0,0,0,0,0,0,0.524511976,NA,0.435949027,0.6328656,0.780539397,0.693350779,0.768207024,NA
DDX3X,ENSG00000215301,ENSMFAG00000034876,ENSMUSG00000000787,ENSRNOG00000023383,ENSCAFG00000014251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.615048892,NA,NA,NA,NA,NA,NA,5.3229
DDX41,ENSG00000183258,ENSMFAG00000031761,ENSMUSG00000021494,ENSRNOG00000012771,ENSCAFG00000016304,0,0,0,0,6,0,0,0,0,0,11,6,0.578029177,NA,0.621953946,0.892457794,0.967530407,0.685500178,0.836105977,4.88585
DDX42,ENSG00000198231,ENSMFAG00000031356,ENSMUSG00000020705,ENSRNOG00000009474,ENSCAFG00000012818,0,0,0,0,0,0,0,0,0,0,0,0,0.677146895,0.576613477,0.745696401,0.937075203,0.997990481,0.687522303,0.991004313,4.74208
DDX46,ENSG00000145833,ENSMFAG00000044528,ENSMUSG00000021500,ENSRNOG00000021637,ENSCAFG00000001048,4,0,-13,11,-11,-11,11,8,10,0,-11,-11,0.687486711,0.504206829,0.687010955,0.906051305,0.913696457,0.916260259,0.945409735,5.45481
DDX47,ENSG00000213782,ENSMFAG00000042577,ENSMUSG00000030204,ENSRNOG00000007838,ENSCAFG00000013224,0,0,0,0,0,0,0,0,0,0,0,0,0.664774693,0.474829115,NA,0.567638676,NA,0.845961699,0.853727665,4.48199
DDX49,ENSG00000105671,ENSMFAG00000044697,ENSMUSG00000057788,ENSRNOG00000022368,ENSCAFG00000014512,0,0,0,-6,6,-1,0,0,0,0,0,0,0.676723165,0.517195845,0.764140398,0.82010524,0.815230037,NA,0.806654344,NA
DDX5,ENSG00000108654,ENSMFAG00000026858,ENSMUSG00000020719,ENSRNOG00000030680,ENSCAFG00000011713,4,0,-7,0,0,11,9,0,10,0,0,0,0.597509697,0.391389908,NA,NA,NA,NA,NA,4.71056
DDX50,ENSG00000107625,ENSMFAG00000044067,ENSMUSG00000020076,ENSRNOG00000000396,ENSCAFG00000013776,8,0,0,10,0,11,13,-10,10,0,-6,-11,0.541046238,NA,0.369550637,0.488927867,0.416710735,0.655525158,0.584966112,3.74662
DDX51,ENSG00000185163,ENSMFAG00000031189,ENSMUSG00000029504,ENSRNOG00000037480,ENSCAFG00000006320,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DDX54,ENSG00000123064,ENSMFAG00000043636,ENSMUSG00000029599,ENSRNOG00000001377,ENSCAFG00000009029,-4,0,7,-1,0,11,-13,-11,-11,-9,6,0,0.553438548,0.633589584,NA,NA,NA,NA,NA,3.44622
DDX55,ENSG00000111364,ENSMFAG00000038165,ENSMUSG00000029389,ENSRNOG00000001043,ENSCAFG00000007452,0,0,0,0,0,0,0,0,0,0,0,0,0.602246895,0.495094462,NA,NA,NA,NA,NA,4.15476
DDX56,ENSG00000136271,ENSMFAG00000041001,ENSMUSG00000004393,ENSRNOG00000004670,ENSCAFG00000029295,0,0,0,0,0,0,0,0,0,0,0,0,0.576374702,NA,NA,0.657969743,0.859862507,0.877720947,0.749476278,NA
DDX58,ENSG00000107201,ENSMFAG00000045674,ENSMUSG00000040296,ENSRNOG00000006384,ENSCAFG00000001807,6,6,0,1,0,-8,0,0,0,-8,-11,11,0.611224159,NA,NA,NA,NA,NA,NA,NA
DDX59,ENSG00000118197,ENSMFAG00000035416,ENSMUSG00000026404,ENSRNOG00000042451,ENSCAFG00000011120,0,0,0,0,0,0,0,0,0,0,0,0,0.564470652,0.443703075,NA,NA,NA,NA,NA,3.10563
DDX6,ENSG00000110367,ENSMFAG00000042472,ENSMUSG00000032097,ENSRNOG00000053932,ENSCAFG00000012442,0,0,0,0,0,-9,0,0,6,11,-1,0,0.738653471,NA,0.923653029,0.890813418,0.727234268,0.856429166,0.831792976,NA
DDX60,ENSG00000137628,ENSMFAG00000016136,ENSMUSG00000037921,ENSRNOG00000059097,ENSCAFG00000009003,-8,0,0,0,0,11,0,0,0,0,8,0,0.432206082,NA,NA,NA,NA,NA,NA,1.45401
DEAF1,ENSG00000177030,ENSMFAG00000001308,ENSMUSG00000058886,ENSRNOG00000017960,ENSCAFG00000006569,-9,0,0,0,0,0,-6,0,0,-6,6,0,0.311685482,NA,NA,NA,NA,NA,NA,NA
DECR1,ENSG00000104325,ENSMFAG00000032034,ENSMUSG00000028223,ENSRNOG00000008236,ENSCAFG00000009009,6,11,-6,6,0,-6,0,0,-6,9,0,13,0.453839981,NA,NA,NA,NA,NA,NA,3.73961
DEDD,ENSG00000158796,ENSMFAG00000040064,ENSMUSG00000013973,ENSRNOG00000003779,ENSCAFG00000012746,0,0,0,0,0,0,0,0,0,0,0,0,0.679761088,NA,NA,NA,NA,NA,NA,NA
DEDD2,ENSG00000160570,ENSMFAG00000001497,ENSMUSG00000054499,ENSRNOG00000046112,ENSCAFG00000004892,0,0,0,0,0,0,0,10,0,0,0,0,0.482812746,NA,NA,0.896513922,0.773558964,0.835851076,0.844239063,2.72119
DEF6,ENSG00000023892,ENSMFAG00000002931,ENSMUSG00000002257,ENSRNOG00000000502,ENSCAFG00000001307,11,0,0,0,11,8,-1,6,-11,0,10,0,0.168733708,0.202668642,0.130784708,0.190528393,NA,0.244914952,0.075415896,NA
DEF8,ENSG00000140995,ENSMFAG00000031002,ENSMUSG00000001482,ENSRNOG00000000264,ENSCAFG00000019806,0,0,0,0,0,0,0,0,0,0,0,0,0.60892574,0.577776353,0.46713615,0.626068845,0.566261237,0.409599144,NA,4.17835
DEFB1,ENSG00000164825,ENSMFAG00000038486,ENSMUSG00000044748,ENSRNOG00000013768,ENSCAFG00000025075,9,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.297454
DEFB124,ENSG00000180383,ENSMFAG00000030937,ENSMUSG00000074678,ENSRNOG00000036895,ENSCAFG00000024871,0,0,0,0,0,0,0,0,0,0,0,0,0.12051544,NA,NA,NA,NA,NA,NA,1.08612
DEGS2,ENSG00000168350,ENSMFAG00000043618,ENSMUSG00000021263,ENSRNOG00000011716,ENSCAFG00000017891,0,0,-9,0,0,0,6,-12,0,0,6,0,0.112116226,0.158700314,NA,NA,NA,NA,NA,4.20315
DENND1A,ENSG00000119522,ENSMFAG00000031585,ENSMUSG00000035392,ENSRNOG00000010526,ENSCAFG00000020227,-8,0,0,0,6,8,0,0,0,0,6,0,0.553945374,0.366864883,0.997429019,0.729445297,0.857006875,0.862376591,0.683302526,3.32988
DENND1B,ENSG00000213047,ENSMFAG00000040708,ENSMUSG00000056268,ENSRNOG00000011063,ENSCAFG00000011353,0,0,0,0,0,0,0,10,0,1,-11,0,NA,NA,NA,NA,NA,NA,NA,NA
DENND1C,ENSG00000205744,ENSMFAG00000031978,ENSMUSG00000002668,ENSRNOG00000046050,ENSCAFG00000018636,-1,-11,-6,0,11,11,0,-11,0,0,11,-11,0.183074889,NA,0.390900961,0.864393773,0.527974617,0.62531224,0.288354898,1.64926
DENND2A,ENSG00000146966,ENSMFAG00000043828,ENSMUSG00000038456,ENSRNOG00000026748,ENSCAFG00000003945,-4,1,0,0,11,6,-9,0,9,-9,-8,4,0.284826366,0.267793999,0.79029734,0.717934663,0.442411423,NA,0.909673444,3.37707
DENND2C,ENSG00000175984,ENSMFAG00000035727,ENSMUSG00000007379,ENSRNOG00000018716,ENSCAFG00000009494,11,0,0,11,0,10,0,-10,0,0,8,0,0.182129195,0.42665476,0.310418064,0.406709055,0.580539397,NA,0.56771411,3.15012
DENND2D,ENSG00000162777,ENSMFAG00000036546,ENSMUSG00000027901,ENSRNOG00000017680,ENSCAFG00000019764,6,0,0,0,6,8,-9,10,-9,0,10,11,NA,NA,NA,NA,NA,NA,NA,3.1311
DENND3,ENSG00000105339,ENSMFAG00000034459,ENSMUSG00000036661,ENSRNOG00000010794,ENSCAFG00000001228,-6,0,0,-10,0,9,0,6,0,0,0,8,0.322385264,NA,NA,NA,NA,NA,NA,2.76699
DENND4A,ENSG00000174485,ENSMFAG00000030601,ENSMUSG00000053641,ENSRNOG00000011739,ENSCAFG00000017250,0,0,0,-6,0,6,0,0,6,0,-6,-9,0.518888938,NA,0.738430584,0.65380399,0.775462718,NA,NA,3.96566
DENND4B,ENSG00000198837,ENSMFAG00000037492,ENSMUSG00000042404,ENSRNOG00000022373,ENSCAFG00000017416,-4,0,0,0,6,6,-11,0,0,-6,0,0,0.351665297,NA,0.847864968,0.849923262,0.764145955,0.697632925,0.537030191,3.12336
DENND4C,ENSG00000137145,ENSMFAG00000030981,ENSMUSG00000038024,ENSRNOG00000008036,ENSCAFG00000001612,4,0,-13,1,-11,11,11,11,11,9,-11,0,0.496964727,0.286990331,NA,0.621793466,0.793759915,NA,0.784596426,3.62299
DENND5A,ENSG00000184014,ENSMFAG00000037631,ENSMUSG00000035901,ENSRNOG00000012206,ENSCAFG00000007156,-9,0,0,-10,0,1,0,-10,13,0,12,8,0.508205399,0.401096298,0.719763023,0.979061609,0.911052353,0.973831331,0.912507702,5.23115
DENND5B,ENSG00000170456,ENSMFAG00000044002,ENSMUSG00000030313,ENSRNOG00000049378,ENSCAFG00000010680,8,0,0,0,-2,0,0,11,13,6,-11,-6,0.588143309,0.506360721,0.77856025,0.629686472,NA,0.35494231,0.488354898,4.07955
DENND6A,ENSG00000174839,ENSMFAG00000035828,ENSMUSG00000040818,ENSRNOG00000011636,ENSCAFG00000007751,0,0,0,0,-1,0,0,8,0,0,0,0,0.596273192,0.450017754,0.641068634,0.805744354,0.857324167,0.870465089,NA,4.39878
DENND6B,ENSG00000205593,ENSMFAG00000033956,ENSMUSG00000015377,ENSRNOG00000029866,ENSCAFG00000000629,0,0,0,0,6,6,0,0,0,0,11,0,0.306274157,NA,0.723675386,0.572242929,0.594077208,NA,0.435736291,3.07136
DENR,ENSG00000139726,ENSMFAG00000038312,ENSMUSG00000023106,ENSRNOG00000001106,ENSCAFG00000032380,4,0,0,11,0,-11,11,0,-11,8,-12,-11,0.797475953,0.423278668,NA,NA,NA,NA,NA,5.10633
DEPDC1,ENSG00000024526,ENSMFAG00000036197,ENSMUSG00000028175,ENSRNOG00000009503,ENSCAFG00000020429,0,0,0,1,8,10,0,0,10,0,0,0,0.208908649,0.129151908,NA,NA,NA,NA,NA,3.45616
DEPDC1B,ENSG00000035499,ENSMFAG00000032556,ENSMUSG00000021697,ENSRNOG00000010701,ENSCAFG00000007133,0,0,0,0,0,0,0,10,0,0,0,0,0.312207109,0.149183534,NA,NA,NA,NA,NA,3.30879
DEPDC5,ENSG00000100150,ENSMFAG00000031441,ENSMUSG00000037426,ENSRNOG00000018144,ENSCAFG00000013268,1,0,11,0,0,0,0,8,0,-13,8,0,0.522363024,0.552114943,NA,NA,NA,NA,NA,NA
DEPDC7,ENSG00000121690,ENSMFAG00000030758,ENSMUSG00000027173,ENSRNOG00000012262,ENSCAFG00000007308,0,0,0,0,0,0,0,0,0,0,0,0,0.115122418,0.248916439,0.289850212,0.339289629,0.442199894,0.626739622,0.145656192,3.40797
DEPTOR,ENSG00000155792,ENSMFAG00000040290,ENSMUSG00000022419,ENSRNOG00000004328,ENSCAFG00000000885,0,0,11,6,-6,1,13,-11,0,13,11,-8,0.310817039,NA,0.454169461,0.531791274,0.470861978,0.277625788,0.428219347,4.31648
DERA,ENSG00000023697,ENSMFAG00000000908,ENSMUSG00000030225,ENSRNOG00000007570,ENSCAFG00000012635,0,0,0,0,0,0,0,0,0,0,0,-8,0.622155113,0.301750255,NA,0.445516334,0.661554733,0.741405971,0.656561922,4.17067
